BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,M_MORTDUE,M_VALUE,M_YOJ,M_DEROG,M_DELINQ,M_CLAGE,M_NINQ,M_CLNO,M_DEBTINC
0,35600,20552,46697,DebtCon,Mgr,7,0,0,45.14448683,0,6,36.06282742,0,0,0,0,0,0,0,0,0
0,18500,26389,85552,DebtCon,ProfExe,7,0,0,152.0406588,1,21,27.35620808,0,0,0,0,0,0,0,0,0
0,20000,79741,117600,DebtCon,Other,10,0,0,291.1666667,2,17,40.51680131,0,0,0,0,0,0,0,0,1
0,30000,224000,282000,DebtCon,ProfExe,5,0,1,209.3666667,0,30,43.30465807,0,0,0,0,0,0,0,0,1
0,11500,70409,89099,DebtCon,ProfExe,9,0,0,169.401652,0,11,40.17443006,0,0,0,0,0,0,0,0,0
1,9700,32660,54536,DebtCon,Office,0,0,0,156.4821057,0,13,67.32490355,0,0,0,0,0,0,0,0,0
0,29000,32109,49912,DebtCon,Other,34,0,0,278.5650034,1,23,39.79656076,0,0,0,0,0,0,0,0,0
0,14800,88898,107208,DebtCon,Office,30,0,0,329.7602146,1,50,36.74501301,0,0,0,1,0,0,0,0,0
1,16800,113021,146222,NotProvided,Mgr,5,3,2,123.8934197,2,65,62.55930782,0,0,0,0,0,0,0,0,0
1,50000,38000,83000,DebtCon,ProfExe,26,7,6,150.2,0,25,28.09337559,0,1,0,0,0,0,0,0,1
0,16600,71096,104437,HomeImp,ProfExe,9,0,0,246.9596363,1,12,37.09953261,0,0,0,0,0,0,0,0,0
0,17800,51689,115660,DebtCon,ProfExe,16,0,0,270.044991,0,19,27.4670018,0,0,0,0,0,0,0,0,0
0,18300,35975,60500,DebtCon,Office,13,0,2,118.6666667,1,22,32.34639883,0,0,0,0,0,0,0,0,1
0,9900,79379,205346,HomeImp,Self,14,0,0,20.21419487,0,7,19.79942792,0,0,0,0,0,0,1,0,0
0,5700,42721,68591,HomeImp,Office,0,0,0,69.64566047,0,4,41.18503956,1,0,0,0,0,0,0,0,0
0,10500,63130,71387,DebtCon,Other,3,0,2,305.556928,0,10,32.1779167,0,0,0,0,0,0,0,0,0
0,12400,26768,52411,HomeImp,Other,0,0,0,253.3180433,0,11,38.82102132,0,0,0,0,0,0,0,0,0
0,22800,132706,170396,DebtCon,ProfExe,8,0,0,147.414949,0,37,19.51853186,0,0,0,0,0,0,0,0,0
0,88900,48919,93371,DebtCon,Other,15,0,1,205.6501595,0,15,34.81826182,0,0,0,0,0,0,0,0,0
0,25000,65700,93400,DebtCon,Office,10,0,0,149.1666667,0,21,40.23960963,0,0,0,0,0,0,0,0,1
1,11500,67000,83000,DebtCon,ProfExe,4,0,0,80.5,0,31,53.58488301,0,0,0,1,1,1,1,1,1
0,17400,97072,155146,DebtCon,Mgr,0,0,0,204.1656163,0,19,40.50796477,0,0,0,0,0,0,0,0,0
0,8800,135899,202788,DebtCon,ProfExe,1,0,0,53.76762152,1,23,35.93202507,0,0,0,0,0,0,0,0,0
0,40000,134029,191990,DebtCon,Mgr,10,1,0,178.7809596,0,24,34.52145025,0,0,1,0,0,0,0,0,0
0,21700,58363,78411,DebtCon,NotProvided,5,0,0,104.1747703,0,16,38.18843548,0,0,0,0,0,0,0,0,0
0,26700,40785,75601,DebtCon,Mgr,14,1,0,98.2405209,5,15,34.15422819,0,0,0,0,0,0,0,0,0
0,21500,90321,103778,DebtCon,ProfExe,2,0,0,128.6427857,0,20,34.28267592,0,0,0,0,0,0,0,0,0
0,14600,82698,104963,DebtCon,Office,30,0,1,344.2820203,1,50,33.9742812,0,0,0,1,0,0,0,0,0
0,12600,49986,67896,DebtCon,Mgr,3,0,0,190.1599072,1,17,29.26631718,0,0,0,0,0,0,0,0,0
0,30800,29226,44735,DebtCon,Other,1,0,0,66.24471976,0,7,13.78396544,0,0,0,0,0,0,0,0,0
0,13900,33403,69878,DebtCon,ProfExe,8,0,0,259.8132832,1,16,23.73521616,0,0,0,0,0,0,0,0,0
0,8900,58503,74706,HomeImp,Other,6,0,0,243.9359963,1,16,36.79323717,0,0,0,0,0,0,0,0,0
0,7700,70451,81862,DebtCon,Sales,3,0,0,141.2686711,0,31,31.68194302,0,0,0,0,0,0,0,0,0
0,23200,184526,237546,DebtCon,ProfExe,2,0,0,291.6334148,0,26,39.48391375,0,0,0,0,0,0,0,0,0
0,41100,94600,151000,DebtCon,Other,15,1,1,220.1333333,4,31,36.74501301,0,0,0,1,0,0,0,0,1
0,12900,19688,77998,DebtCon,ProfExe,20,0,2,407.2611669,0,12,22.83907899,0,0,0,0,0,0,0,0,0
0,19000,130291,168187,DebtCon,Office,3,0,0,140.6893429,0,20,24.78815021,0,0,0,0,0,0,0,0,0
0,15800,51163,157644,DebtCon,ProfExe,19,0,0,239.2247894,0,28,20.74752052,0,0,0,0,0,0,0,0,0
0,16100,105719,116491,DebtCon,Other,1,0,0,117.8736121,2,20,38.7636997,0,0,0,0,0,0,0,0,0
0,26700,73468,108774,DebtCon,ProfExe,11,0,0,290.0805914,1,32,39.0422045,0,0,0,0,0,0,0,0,0
0,20600,32439,55024,DebtCon,Other,0,0,0,302.7839495,0,24,35.38837972,0,0,0,1,1,0,1,0,0
0,27600,54584,86568,DebtCon,Other,22,0,0,214.8157373,1,27,35.2239708,0,0,0,0,0,0,0,0,0
0,16400,86422,116097,NotProvided,NotProvided,0,0,0,75.43432799,2,23,35.59895076,0,0,1,1,1,1,1,1,0
0,20900,58299,78684,DebtCon,NotProvided,3,0,0,98.66282045,0,16,38.97200388,0,0,0,0,0,0,0,0,0
0,13900,65437,94518,DebtCon,ProfExe,10,0,0,182.4007551,0,19,21.29607532,0,0,0,0,0,0,0,0,0
0,11600,82326,94599,DebtCon,Other,0,4,0,82.33528777,0,3,29.89362148,0,0,0,0,0,1,0,0,0
1,15100,48781,70000,NotProvided,NotProvided,0,0,0,94.80523575,0,0,18.73208974,1,1,0,0,0,1,0,0,1
